borough,GSSCode,2021muslims,2011muslims,percentChangeMuslims,2021christians,2011christians,percentChangeChristians,2021hindu,2011hindu,percentChangeHindu
Barking and Dagenham,E09000002,53389,25520,109.2,99342,104101,-4.571521887,6596,4464,47.75985663
Barnet,E09000003,47688,36744,29.78,142321,146866,-3.094657715,22105,21924,0.825579274
Bexley,E09000004,9721,5645,72.21,123908,144093,-14.00831407,7516,3547,111.8973781
Brent,E09000005,72574,58036,25.05,131914,129080,2.195537651,52876,55449,-4.640300096
Bromley,E09000006,10876,7841,38.71,159452,187656,-15.02962868,9644,4987,93.38279527
Camden,E09000007,33830,26643,26.98,65980,74821,-11.81620133,3991,3141,27.0614454
City of London,E09000001,540,409,32.03,2976,3344,-11.00478469,203,145,40
Croydon,E09000008,40717,29513,37.96,190880,205022,-6.897796334,23145,21739,6.467638806
Ealing,E09000009,68907,53198,29.53,138937,148055,-6.158522171,28236,28915,-2.348262148
Enfield,E09000010,61477,52141,17.91,153015,167417,-8.602471673,10231,10927,-6.369543333
Greenwich,E09000011,24715,17349,42.46,129112,134632,-4.100065363,11647,9087,28.17211401
Hackney,E09000012,34578,34727,-0.43,79499,95131,-16.43207787,1998,1577,26.69625872
Hammersmith and Fulham,E09000013,21290,18242,16.71,83673,98808,-15.31758562,2209,2097,5.340963281
Haringey,E09000014,33295,36130,-7.85,103944,114659,-9.345101562,3529,4539,-22.25159727
Harrow,E09000015,41503,29881,38.89,88602,89181,-0.64924143,67392,60407,11.56322943
Havering,E09000016,16135,4829,234.13,136765,155597,-12.10306111,6454,2963,117.8197773
Hillingdon,E09000017,44077,29065,51.65,119434,134813,-11.40765356,33020,22033,49.86610993
Hounslow,E09000018,48028,35666,34.66,110269,106660,3.383648978,27360,26261,4.184912989
Islington,E09000019,25840,19521,32.37,75129,82879,-9.350981551,2195,2108,4.127134725
Kensington and Chelsea,E09000020,16865,15812,6.66,69335,86005,-19.38259404,1584,1386,14.28571429
Kingston upon Thames,E09000021,13366,9474,41.08,71670,84684,-15.36771999,8456,7502,12.7166089
Lambeth,E09000022,25871,21500,20.33,138714,160944,-13.81225768,3179,3119,1.923693492
Lewisham,E09000023,22264,17759,25.37,131706,145588,-9.535126521,6459,6562,-1.569643401
Merton,E09000024,21673,16262,33.27,101320,111993,-9.530059914,12610,12203,3.335245431
Newham,E09000025,122146,98456,24.06,123746,123119,0.509263396,21405,26962,-20.61048884
Redbridge,E09000026,97068,64999,49.34,94473,102755,-8.059948421,34372,31699,8.432442664
Richmond upon Thames,E09000027,8492,6128,38.58,88556,103319,-14.28875618,4184,3051,37.13536545
Southwark,E09000028,29633,24551,20.7,133298,151462,-11.99244695,3444,3668,-6.106870229
Sutton,E09000029,14736,7726,90.73,95960,111086,-13.61647732,14666,8038,82.45832297
Tower Hamlets,E09000030,123912,87696,41.3,69223,68808,0.603127543,6298,4200,49.95238095
Waltham Forest,E09000031,60157,56541,6.4,108630,124939,-13.05357014,5155,5917,-12.87814771
Wandsworth,E09000032,32519,24746,31.41,139656,162590,-14.10541854,6419,6496,-1.185344828
Westminster,E09000033,40873,40073,2,76245,97877,-22.10120866,4457,4178,6.677836285
